"excessive","/ɪkˈsesɪv; ekˈsesɪv/","/ɪkˈsesɪv; ekˈsesɪv/","adj. 过度的，过多的"
"exhort","/ɪɡˈzɔːrt/","/ɪɡˈzɔːt/","vt. 忠告；劝诫<br>vi. 劝告"
"nail","/neɪl/","/neɪl/","n. 钉子；指甲，趾甲；（一些软喙鸟类）上喙的硬甲壳；纳尔（布匹长度单位）<br>v. （用钉子）钉住，钉牢；抓住，证明……有罪；戳穿，揭露；（尤指体育运动中）获得，赢得；（选手）锁定（胜局）；<非正式>用力击打；<美，非正式>完美地完成，漂亮地做；(棒球)（外场手）把（跑垒者）杀出局；<美>（选手）击败（或智胜）（对手）；<美，俚>（男性）与……性交；（外场手）把（跑垒者）杀出局"
"naked","/ˈneɪkɪd/","/ˈneɪkɪd/","adj. 裸露的，无遮盖的；肉眼的；裸体的，不穿衣服的；露骨的，明显的；缺乏保护的，无力自卫的；（动物）没有皮毛的，没有羽毛的；公然的"
"reputation","/ˌrepjuˈteɪʃ(ə)n/","/ˌrepjuˈteɪʃ(ə)n/","n. 名誉，名声"
"namely","/ˈneɪmli/","/ˈneɪmli/","adv. 即，也就是"
"narration","/nəˈreɪʃnˌnæˈreɪʃn/","/nəˈreɪʃn; næˈreɪʃn/","n. 叙述，讲故事；（电影、戏剧等中的）旁白，解说"
"narrator","/ˈnæreɪtər; næˈreɪtər; nəˈreɪtər/","/nəˈreɪtə(r)/","n. （小说或电影的）叙述者，叙事人；（电影或电视节目中的）解说员，旁白员"
"narrowly","/ˈnæroʊli/","/ˈnærəʊli/","adv. 刚好，勉强地；狭隘地，受限地；仔细地，严密地"
"nasty","/ˈnæsti/","/ˈnɑːsti/","adj. 恶毒的，凶相的；令人不快的，令人厌恶的；（伤口、疾病等）严重的，恶性的；污秽的，下流的；（外表）丑陋的，（气味等）难闻的；造成很大伤害的；令人担忧的，难对付的；有威胁性的，吓人的<br>n. <非正式>令人不快的人（或事），危害别人的人（或事）；<非正式>恐怖录像（或影片）"
"naughty","/ˈnɔːti/","/ˈnɔːti/","adj. 顽皮的，淘气的；不妥当的，（成人）没规矩的；下流的，淫秽的；<古>邪恶的"
"navigate","/ˈnævɪɡeɪt/","/ˈnævɪɡeɪt/","v. 导航，引路；航行于，横渡；穿过，穿越；驾驶，操纵；浏览；（有效地）处理；(鱼、动物或昆虫)找到正确的行动方向；绕过"
"navigator","/ˈnævɪɡeɪtər/","/ˈnævɪɡeɪtə(r)/","n. 航海家；领航员；驾驶员"
"navy","/ˈneɪvi/","/ˈneɪvi/","n. 海军；深蓝色；舰队"
"neat","/niːt/","/niːt/","adj. 整齐的；爱整洁的；巧妙的，简洁的；灵巧的，利落的；精致的，小巧的；<美，非正式>很棒的，令人愉快的；（酒）纯的，不加冰的；光洁的，光滑的"
"necessary","/ˈnesəseri/","/ˈnesəsəri/","adj. 必要的，必需的；必然的，不可避免的；迫不得已的，非自愿的<br>n. （生活）必需品；<英，非正式>必要的事；<英，非正式>足够的钱"
"necklace","/ˈnekləs/","/ˈnekləs/","n. 项链；（主要指南非的）火项链<br>v. （主要指南非）用火项链处决（某人）"
"modal","/ˈmoʊdl/","/ˈməʊdl/","adj. 模式的；情态的；形式的<br>n. 莫代尔（一种新型纤维素纤维）"
"needy","/ˈniːdi/","/ˈniːdi/","adj. （人）贫困的；（环境）贫穷的；需要关注的，需要情感支持的"
"negate","/nɪˈɡeɪt/","/nɪˈɡeɪt/","v. 否认，否定；使无效，取消；使（单词或短语）变否定"
"neglect","/nɪˈɡlekt/","/nɪˈɡlekt/","v. 疏于照顾，未予看管；不予重视，忽视；漏做<br>n. 忽略，忽视，未被重视"
"negotiate","/nɪˈɡoʊʃieɪt/","/nɪˈɡəʊʃieɪt/","v. （尤指在商业或政治上）谈判，磋商，洽谈；商定，达成协议；顺利通过，成功越过；解决（难题）；议付，洽兑；转让（支票、汇票或票据）"
"negotiable","/nɪˈɡoʊʃiəb(ə)l/","/nɪˈɡəʊʃiəb(ə)l/","adj. 可协商的，可讨论的；流通的，可兑现的，可转让的；可通行的"
"nest","/nest/","/nest/","n. 窝，巢，穴；舒适的居所，安乐窝；（套叠的）一套物件，一组物件；藏匿处，秘密窝点<br>v. （鸟类）筑巢，做窝；（一套物件）逐个套叠；嵌套（信息）；找鸟巢"
"neutral","/ˈnuːtrəl/","/ˈnjuːtrəl/","adj. 中立的，不偏不倚的；中性的，不带感情色彩的；暗淡的，素净的；（化学中）中性的，非酸非碱的；不带电的<br>n. （车辆排挡的）空挡；中立者，中立国；素净色，中和色；不活动，停滞；不带电的接触点"
"nevertheless","/ˌnevərðəˈles/","/ˌnevəðəˈles/","adv. 然而，不过"
"newcomer","/ˈnuːkʌmər/","/ˈnjuːkʌmə(r)/","n. 新来者，新手；新鲜事物<br>n. （美）纽科默（人名）"
"nickname","/ˈnɪkneɪm/","/ˈnɪkneɪm/","n. 绰号，外号<br>v. 给……起绰号；叫错名字"
"niece","/niːs/","/niːs/","n. 外甥女，侄女"
"nightmare","/ˈnaɪtmer/","/ˈnaɪtmeə(r)/","n. 噩梦；可怕的经历，很难对付的人（或情形）"
"noble","/ˈnoʊb(ə)l/","/ˈnəʊb(ə)l/","adj. 崇高的，高尚的；宏伟的，卓越的；贵族的，高贵的；惰性的<br>n. （旧时的）贵族"
"nobility","/noʊˈbɪləti/","/nəʊˈbɪləti/","n. 贵族；崇高，高尚"
"nobly","/ˈnoʊbli/","/ˈnəʊbli/","adv. 崇高地；高贵地；华丽地；豪爽地"
"nonetheless","/ˌnʌnðəˈles/","/ˌnʌnðəˈles/","adv. 然而，尽管如此"
"non-fiction","/ˌnɑːn ˈfɪkʃn/","/ˌnɒn ˈfɪkʃn/","n. 非小说；非小说类文学作品；纪实小说"
"nonsense","/ˈnɑːnsens/","/ˈnɒns(ə)ns/","n. 荒谬的想法（看法），胡说；愚蠢的行为，胡闹；无意义的话（字句）<br>adj. 无意义的，荒谬的<br>int. 胡说，废话"
"nonstop","/ˌnɑːnˈstɑːp/","/ˌnɒnˈstɒp/","adj. 直达的，不着陆的；不休息的，不间断的<br>n. 直达车<br>adv. 不休息地，不停地"
"continuous","/kənˈtɪnjuəs/","/kənˈtɪnjuəs/","adj. 连续不断的，持续的；（语法）进行式的；（函数）连续的"
"nonverbal","/ˌnɑːnˈvɜːrbl/","/nɒnˈvɜːbəl/","adj. 不使用语言的，非言语的；不能说话的"
